индекс,Наименование,колво,цена,стоимость,date
1,ротгипс,70,1800,126000,25.02.2022
2,глатт алинекс,15,3500,52500,25.02.2022
3,"Шпатлевка финишная КР ""ALIT""",6,2500,15000,25.02.2022
4,мешок мусорный,100,60,6000,25.02.2022
5,правило 3м,1,8500,8500,25.02.2022
6,правило 2м,1,5800,5800,25.02.2022
7,маяк стен,80,300,24000,25.02.2022
8,уголок перфорированный,20,300,6000,25.02.2022
9,ГКЛ 9.5 об,25,2000,50000,25.02.2022
10,27 на 28 (0.6),30,1100,33000,25.02.2022
11,27 на 60 (0.6),50,1650,82500,25.02.2022
12,подвесы (0.9),200,80,16000,25.02.2022
13,ГКЛ 9.25 вл,2,2500,5000,25.02.2022
14,шпатель 35,2,1500,3000,25.02.2022
15,шпатель 35 рем,2,4500,9000,25.02.2022
16,шпатель 10,4,1200,4800,25.02.2022
17,веник,1,800,800,25.02.2022
18,бетоноконтакт,3,8500,25500,25.02.2022
19,грунтовка 10 л,7,2200,15400,25.02.2022
20,перчатки,1,2200,2200,25.02.2022
21,валик 250,2,1800,3600,25.02.2022
22,шуруп 25,3000,4,12000,25.02.2022
23,6 на 40,500,10,5000,25.02.2022
24,корочки,5,100,500,25.02.2022
25,нитка,4,600,2400,25.02.2022
26,тазик,1,3500,3500,25.02.2022
27,ведро 20,3,1500,4500,25.02.2022
28,шуруп 7 па,300,8,2400,25.02.2022
29,серпянка 5,5,800,4000,25.02.2022
30,удочка,1,3000,3000,25.02.2022
31,скотч бумажный,5,800,4000,25.02.2022
32,питка 100,10,300,3000,25.02.2022
33,разметочный порошок,1,1500,1500,25.02.2022
34,пена 65,2,2600,5200,25.02.2022
35,писталет для пены,1,2000,2000,25.02.2022
36,нож конц,2,800,1600,25.02.2022
37,лезвия,5,200,1000,25.02.2022
38,доставка,1,4000,4000,25.02.2022
39,трубы,12,300,3600,25.02.2022
40,трубы,8,300,2400,25.02.2022
41,трубы,2,800,1600,25.02.2022
42,трубы,40,50,2000,25.02.2022
43,трубы,15,60,900,25.02.2022
44,трубы,10,50,500,25.02.2022
45,трубы,10,150,1500,25.02.2022
46,трубы,10,150,1500,25.02.2022
47,трубы,10,1500,15000,25.02.2022
48,трубы,32,300,9600,25.02.2022
49,трубы,6,1000,6000,25.02.2022
50,трубы,4,600,2400,25.02.2022
51,трубы,8,300,2400,25.02.2022
52,трубы,6,300,1800,25.02.2022
53,трубы,4,350,1400,25.02.2022
54,трубы,2,1600,3200,25.02.2022
55,трубы,2,600,1200,25.02.2022
56,трубы,2,600,1200,25.02.2022
57,трубы,1,4500,4500,25.02.2022
58,силикон,1,1800,1800,25.02.2022
59,кабель ввг 3 на 4,20,1000,20000,25.02.2022
60,кабель ввг 3 на 2.5,200,400,80000,25.02.2022
61,кабель ввг 3 на 1.5,100,300,30000,25.02.2022
62,кабель ввг 3 на 1.5,50,250,12500,25.02.2022
63,ютп,80,120,9600,25.02.2022
64,гофра 20,2,7500,15000,25.02.2022
65,автомат 25а,4,1200,4800,25.02.2022
66,автомат 16а,1,1100,1100,25.02.2022
67,автомат 32а,1,1300,1300,25.02.2022
68,щит вайфай,1,6000,6000,25.02.2022
69,подрозетник,50,50,2500,25.02.2022
70,коробка,10,100,1000,25.02.2022
71,патрон,8,200,1600,25.02.2022
72,лампа,10,200,2000,25.02.2022
73,бур 6,10,600,6000,25.02.2022
74,изолента,10,200,2000,25.02.2022
75,сиз,1,2200,2200,25.02.2022
76,хомут 20,4,900,3600,25.02.2022
77,хомут 10,4,800,3200,25.02.2022
78,диск 125,2,4000,8000,25.02.2022
79,диск 125,5,300,1500,25.02.2022
80,уголок 5 на 5,3.6,1500,5400,25.02.2022
81,скотч бумажный,5,600,3000,25.02.2022
82,саморезы,500,4,2000,25.02.2022
83,доставка,1,3000,3000,25.02.2022
84,ротгипс,30,1830,54900,25.02.2022
85,экопол,25,2550,63750,25.02.2022
86,доставка,1,2000,2000,25.02.2022
87,парашют,100,25,2500,25.02.2022
88,гкл 12.5 влг,7,2500,17500,25.02.2022
89,гкл 9.5,2,2200,4400,25.02.2022
90,шуруп 5ка,1,1200,1200,25.02.2022
91,профиль 27 на 60,24,1650,39600,25.02.2022
92,профиль 27 на 28,24,1200,28800,25.02.2022
93,пеноплекс,2,13000,26000,25.02.2022
94,доставка,1,2000,2000,25.02.2022
95,керамогранит на кухню,1,85144,85144,26.02.2022
96,панно,1,36500,36500,26.02.2022
97,багеты,1,29925,29925,26.02.2022
98,керамогранит remate teja,4.32,15190,65621,05.03.2022
99,керамогранит mahon polished,26.64,11990,319414,05.03.2022
100,инсталляция grohe rapid SL c кнопкой skate cosmopolitan,1,83300,83300,20.03.2022
101,унитаз euro ceramic безободковый,1,113256,113256,20.03.2022
102,сиденье euro ceramic безободковый,1,45228.6,45228.6,20.03.2022
